index,Text,Tag,sentence_id
16,ở đâu cũng có những kẻ dở_hơi,[0. 1.],16
17,"không_thể_nào xót_xa hơn khi nghĩ tới việc bé bị bỏ_rơi thế_này . căm_phẫn loại người đi làm chuyện này . mong bé khoẻ_mạnh . các bạn làm công_tác bảo_vệ sự sống thai_nhi thật tuyệt_vời , mong các bạn sức_khoẻ .",[0. 0.],17
18,kia soluto thì thiếu tí_tẹo .,[1. 0.],18
19,may là rắn không có độc không thì cá gặp diêm vương rồi,[0. 0.],19
20,"công_an thực_hiện nhiệm_vụ vô_cùng tuyệt_vời cho dân , cho nước . nhiệm_vụ vô_cùng nguy_hiểm với côn_đồ có súng nhưng đã bắt được bọn buôn ma_tuý lớn . cảm ởn các anh rất nhiều",[1. 0.],20
21,thích vụ ko tạo scandal,[0. 0.],21
22,"có_lẽ đây là lý_do nhiều người miền nam có màu_da sạm hơn đồng_bào miền bắc , vì mọi món đều cho chút đường .",[0. 0.],22
23,đọc tin mà thấy căm hờnmặt người dạ thú chẳng còn lương trisói lang chẳng chút từ bixuống tay tàn_bạo khác chi hung thầnvừa tồi vừa ác vừa bầnkịch khung mà xử chẳng cần phải nươngđau lòng xin thắp nén hươngtiễn người về chốn thiên_đường xa_xăm .,[0. 1.],23
24,rất hay,[0. 0.],24
25,mong chính_quyền thành_phố dẹp hết giang_hồ cho mọi người được nhờ .,[0. 0.],25
26,biden harris sẽ thắng .,[0. 0.],26
27,"nhập một két nước chai có ngàn tính ra có . đchai . trong khi bao_nhiêu lượt vận_chuyển , bôc vác và lưu kho , thật_sự không biết nước đó bổ béo gì không mà thanh_niên uống ngày mấy chai",[1. 0.],27
28,"xinh_đẹp , tài_giỏi , có trình_độ , hiểu_biết rộng nên đi làm diễn_viên .",[1. 0.],28
29,"cảm_ơn tất_cả các bạn , chúng_tôi vô_cùng biết_ơn và yêu_mến các bạn vn",[0. 0.],29
30,"bàn_tay nhanh_nhẹn quá , chúc_mừng chú , gia_đình là quan_trọng nhất",[0. 0.],30
31,cai đâm cưa ha kiêu anh trông nhạt nheo qua,[0. 1.],31
32,cũng đẹp,[0. 0.],32
33,sĩ_quan này rất thẳng_thắn và mạnh_mẽ . tôi hy_vọng biden sẽ trở_thành tân_tổng_thống của hoa_kỳ,[0. 0.],33
34,"hở ra cái là kêu_gọi hi_sinh kinh_tế , làm gì thì cũng phải hợp_lí , chống dịch là để sống nhưng ko có kinh_tế thì sống kiểu gì",[1. 0.],34
35,tuổi_thơ mình gắn liền với hai tác_phẩm . dế_mèn phiêu_lưu ký và bẩy viên ngọc rồng . ngoài_ra vẫn còn một_số tác_phẩm khác . cái tết của mèo con . giơ già quá rùi,[0. 0.],35
36,lần đầu_tiên quê_hương ninh_bình của mình có thí_sinh vào chung_kết . chúc cháu thành_công mang vinh_quang về,[0. 0.],36
37,"đúng là để messi tự_do sẽ rất nguy_hiểm . đối_thủ cứ lo kèm messi . mà quên rằng trái bóng không nhất_thiết phải qua chân messi nữa , mà nó sẽ đến vị_trí của cầu_thủ nào đang chiếm được khoảng trống . bóng_đá hiện_đại là thế . chúc_mừng barca đã đi đúng hướng . chúc_mừng messi đã trút bỏ áp_lực .",[1. 0.],37
38,chúc_mừng và cảm_ơn các bạn . hy_vọng netflix sẽ mua bản_quyền phát_hành online toàn thế_giới phim ròm để tụi mình có_thể thưởng_thức .,[0. 0.],38
39,vậy_mà ở london thì người_dân lại biểu_tình đòi tháo khẩu_trang ra .,[0. 0.],39
40,tôi không_thể để cậu ấy rời clb . messi là cầu_thủ hay nhất mọi thời_đại và đội bóng cần cậu ấy . sở_hữu messi là một sự đảm_bảo thành_công .,[1. 0.],40
41,"học đại_học còn có mấy bạn vô_ý_thức , quan_trọng con_người thôi",[0. 1.],41
42,"quê_hương đất quảng rất tự_hào và kiên_cường trong mọi thời_kỳ , sinh ra những anh_kiệt làm rạng_rỡ đất việt . cảm_ơn các tác_giả .",[1. 0.],42
43,". tham_gia bảo_hiểm lúc chưa cần , vì lúc cần rồi thì ko tham_gia đc nữa , nếu đc thì phí cũng rất cao .. tham_gia càng sớm phí đóng càng thấp . lúc nằm chỗ , đóng bỉm mới thấy có bảo_hiểm nó lợi hơn ở chỗ nào",[1. 0.],43
44,vậy_thì luật này vẫn chưa có sức dăn đeđã là luật thì sao không thực_hiện đúng.dù đó là ai và có thế_nào thì cũng phải chịu chứ . nếu giam nó tháng rồi tháng thứ ba lại vờ_vĩnh bị ốm_yếu thế là xong à .,[1. 1.],44
45,"ngoại_ngữ như tiếng_mẹ_đẻ thôi ,",[0. 0.],45
46,"thắng là vui rồi đội bóng lớn phải là đội không_những phải_biết vùi_dập đối_thủ trong một ngày đẹp trời mà_còn phải_biết kiếm được điểm trong một ngày mình chơi không tốt chúc_mừng gooner , tôi tin là năm nay với những con_người này , arsenal sẽ tạo ra một điều đặc_biệt",[1. 0.],46
47,"trong cuộc_sống của con_người , tôi cũng rất ghét những đứa con to xác nhưng luôn lười_biếng và ăn_bám trên thân_xác những cha_mẹ gầy_guộc .",[1. 1.],47
48,mấy kiểu này ở việt_nam bán lâu rồi,[0. 0.],48
49,các thanh_thiếu_niên ngày_càng dễ_dãi nhưng thiếu kiến_thức phòng_tránh hoặc quá chủ_quan dẫn đến những hệ_luỵ không tốt .,[1. 0.],49
50,"cuộc_sống còn nhiều khó_khăn thiết_nghĩ bà_con không nên sinh_đẻ nhiều quá , vừa không lo đủ miếng ăn , vừa không đảm_bảo việc học_hành cho con_cái , khổ từ đời cha đến đời con thôi .",[1. 0.],50
51,"không phải nặng , chỉ đơn_giản các bé không học trước lớp thì sẽ không học kịp nổi chương_trình mà thôi",[0. 0.],51
52,"có xem một tập trong thời_gian đó , hình_như đang học lớp , gì thì_phải , tui sinh cảm_giác truyện rất ok nhưng thời đó do còn nhỏ nên ít đọc truyện chữ",[1. 0.],52
53,không mợ thì chợ vẫn đông,[0. 0.],53
54,"khả_năng bên trong lõi mặt_trời có sự sống cấp cao ngược_lại với trái_đất , trong lõi của mặt_trời lại rất át mẻ",[0. 0.],54
55,khả_năng trump vẫn sẽ được tín_nhiệm và tái đắc_cử .,[1. 0.],55
56,phải sửa_chữa thôi bởi_vì những vật trưng_bầy mỹ_thuật trong toà nhà ko còn mỹ_thuật nữa thì sẽ ko phải là viện_bảo_tàng mỹ_thuật .,[0. 0.],56
57,lành bệnh cố_gắng kiếp việc an_toàn làm kiếm tiền nhé anh_chị . hãy nhớ con_cái thà chịu gd thiếu_thốn vật_chất chứ các con không chịu cảnh thiếu_thốn cha_mẹ đâu .,[0. 0.],57
58,"tốt nhất hãy gửi bé vào cơ_sở thiện nguyện nào đó ít_nhất bé sẽ có đc cuộc_sống như con_người , được ăn được học",[1. 0.],58
59,đọc báo thấy binden hơn trump tất_cả các mặt . từ tấm lòng nhân_ái cho đến sự ủng_hộ của tất_cả,[1. 0.],59
60,đề_nghị các bác trả lại tên cho em là trái nước nhá .,[0. 0.],60
61,phải làm gắt_gao ngay từ sân_bay kẻo ra cộng_đồng thật nguy_hiểm,[0. 0.],61
62,cách_ly vĩnh_viễn khỏi xã_hội . mong các cháu lớn và lên xoá sạch kỹ ức đau_khổ này,[0. 1.],62
63,"em cũng đang phân_vân kona bản đặc_biệt và seltos . pre . so vớii kona e thấy seltos thiếu phanh ba , hệ_thống chống trượt thân xe , hỗ_trợ xuống_dốc , cảnh_báo điểm_mù và cảm_biến áp xuất lốp . toàn công_nghệ an_toàn mà thaco lại cắt đi .",[1. 0.],63
64,"nếu không tìm_hiểu về trang_bị hay so_sánh thì seltos luxury ngay và luôn thiết_kế đẹp , rộng hơn , hàng ghế sau rộng hơn có_điều hoà phía sau . nếu đã tìm_hiểu và so_sánh thì sẽ rất là khó chọn , theo mình thì . nhưng mình sẽ chọn kona hơn về an toànphát biểu của người chưa có xe xd",[1. 0.],64
65,wakanda forever di_sản của anh sẽ tiếp_tục được tiếp_nối siêu anh_hùng của người da_màu .,[0. 0.],65
66,cá to quá nên thả nó về tự_nhiên đi anh .,[0. 0.],66
67,"nhà em đang chạy cả kia và hyundai nên đánh_giá là chất_lượng lắp_ráp của kia vẫn dưới hyundai , nhựa của kia lắp lởm rất hay bị cọt_kẹt , đi hyundai vẫn thấy chắc xe hơn",[1. 0.],67
68,quan_trọng là linh_kiện thay_thế sau khi hết hạn bảo hành.cái này thì bạn chọn fadil là ok nhất .,[1. 0.],68
69,chuyện ly_kỳ .,[0. 0.],69
70,nhật hàn thì cũng vn lắp_ráp thôi . thế_giới phẳng rồi . khoảng_cách không còn xa nhau đâu .,[1. 0.],70
71,một sự_cố hy_hữu,[0. 0.],71
72,"accent cụ nhé . nhìn xe kiểu châu_âu , dáng đẹp , công_nghệ tốt",[1. 0.],72
73,nên cho_phép chọn đóng lần hoặc nhiều lần để người_dân lựa_chọn,[1. 0.],73
74,"chúc anh và cháu thật nhiều sức_khoẻ , hạnh_phúc để đạt được thành_quả trong cuộc_sống và học_tập của cháu .",[0. 0.],74
75,cứ vios mà múc bác . toyota number one . rất đẳng_cấp .,[1. 0.],75
76,"tôi ủng_hộ ông trump , mong ông được thêm một nhiệm_kỳ nữa",[0. 0.],76
77,"quá coi_thường pháp_luật , hôm_nay nhìn kỹ mới thấy trước giờ toàn uống bia giả , hệ_thống phân_phối của nó phải nói quá dữ",[0. 0.],77
78,"khi bạn là cá_sấu nước_mặn nhưng sống chung và chơi chung hội với cá_heo quá lâu thành_ra thế , hết_biết , điều này cho thấy bạn_bè ảnh_hưởng đến bạn ra sao",[0. 0.],78
79,cầu_mong mọi người bình_an việt_nam cố lên đất_nước chiến_thắng,[0. 0.],79
80,không hiểu sao thành_phố bố_trí khu tạm_cư cho người_dân chờ đền_bù giải_toả lại là những nơi này .,[0. 0.],80
81,định_nghĩa diện_tích là một_nửa tích của chiều cao và chiều dài cạnh_đáy .,[0. 0.],81
82,lúc đầu xe_bồn chạy khá chậm nhưng không hiểu vì sao lại không dừng khi đèn_đỏ mà chạy luôn vậy,[1. 0.],82
83,nếu dùng đinh đã không tồn_tại đến ngày_nay .,[0. 0.],83
84,cảm_ơn vì bài viết quá chất_lượng,[0. 0.],84
85,"những_ai cho rằng người điều_khiển cuộc tranh_luận đã thiên_vị ông joe thì rõ_ràng chẳng biết luật_chơi của cuộc tranh_luận ma hai bên đã đồng_ý đó là mỗi bên có phút để trình_bày trước quốc_dân những chính sach cụ_thể se mang lại lợi_ích cho đất_nước nếu được bầu . nếu ban biết tiếng anh thì ai cũng thấy trump chơi trò cả vú lấp miệng em để không cho joe trình_bày . mặc_dầu joe có bị tật nói cà_lăm từ lúc bé nhưng joe đã vươt qua và joe có một quá_trình và khả_năng trình_bày ràng rành_mạch có sức thuyết phuc cao . mặc_dầu joe đã lớn_tuổi và không con sắc_bén như trước nhưng tôi tin joe la người lương_thiện có đầy_đủ khả_năng cùng ban tham_mưu của ông sẽ lèo lai con thuyền quốc_gia hoa ky qua các cơn giông_tố , không thùng rỗng thùng kêu to như trump . là một cử_tri ở hoa_kỳ năm , tôi tin phiếu bầu của tôi và những cử_tri trí_thức khác sẽ loại_bỏ donald trump vào ngày nầy .",[1. 0.],85
86,"dã_man quá , mất hết nhân_tính rồi . xin chia buồn cùng gia_đình nạn_nhân .",[0. 1.],86
87,"tôi cũng đã từng chỉ nặng kg triền_miên gần năm , sau hơn năm tập gym giờ đã đc kg . tự_tin hơn rất nhiều , đây là môm thể_thao cải_thiện vẻ ngoài rất tốt .",[1. 0.],87
88,thuỳ dung đẹp sx,[0. 0.],88
89,"dragon soul gì chứ , gọi là tucson soul mới đúng . đến chán với xe tq , hết thời nhái xe sang rồi đến giờ lại nhái xe bình_dân , hãng xe thì lắm tiền sao không đầu_tư tiền_bạc vẽ ra thiết_kế đặc_trưng của hãng mình như vinfast , nhìn không lẫn vào đâu được . tiết_kiệm làm gì vài đồng mà đi cop thiết_kế của hãng xe khác không vậy .",[1. 1.],89
90,ngoài clb hn thấy chuyên_nghiệp . phần còn lại thấy như giải bóng_đá phố huyện .,[1. 0.],90
91,mấy ae cứ chê_bai hoài basa cũng khớ khớ hơn schalke rồi đó .,[0. 0.],91
92,"bóng_đá cũng chỉ một môn thể_thao giải_trí thôi mà thấy anh_em còm men so_sánh cr m gắt quá . cái đó các nhà_báo , chuyên_gia làm tốt hơn . chúng_ta hãy tận_hưởng thôi.tuy nhiên thì các chuyên_gia thường so_sánh cr với m , nhưng lại lấy messi để so_sánh với các huyền_thoại thì chúng_ta nên ngầm hiểu là messi ở tầm nào rồi .",[0. 0.],92
93,". mới tiêm đến lại tiêm , có gần quá không . vaccin có bị gì không . bỏ một ngày tiêm phòng mà lo cho con sao lại đem gởi sớm thế , cơ_sở này thế_nào . phản_ứng của tiêm phòng_không nhất_thiết phải phút , vì tuỳ theo thể_trạng của các bé có_thể cả ngày mới phản_ứng thuốc .. buồn",[1. 0.],93
94,accent bạn ạ . hạng b chất_lượng hàn nhật thời_điểm này là như nhau . cố thêm vài chục . vios cũng ngon nhưng khổ_nỗi vỏ tole mỏng như lá lúa hơi tiếc,[1. 0.],94
95,"kính chúc tổng_thống trump mau bình_phục , đắc_cử nhiệm_kỳ .",[0. 0.],95
96,không bán vàng chị ơi . vàng tăng trong năm tới sẽ gấp đôi tài_sản . sau năm nữa bán là ok .,[1. 0.],96
97,nhiều khi mình vô tphcm đến mấy ng tư muốn quẹo mà nhiều chỗ rất khó thấy tên đường góp_phần nguy_hiểm cho lái_xe nhất là xe_hơi vì lượng xe_máy tp rất đông nên xe_hơi muốn quẹo phải quan_sát nhiều thứ như_vậy rất nguy_hiểm .,[1. 0.],97
98,"mục_đích của bảo_hiểm là bảo vệ.mỗi năm bạn trích thu_nhập ra để mua bảo_hiểm thìnếu mai_mốt không may bạn ốm bệnh_tật thì gói bảo_hiểm bạn mua có tích_hợp sản_phẩm bổ_trợ như bảo_lãnh thanh_toán viện_phí , trợ_cấp y_tế do phải nằm viện bị mất thu nhập.thì cty bảo_hiểm sẽ thanh_toán thay cho bạn , và trả cho bạn mỗi ngày nằm viện số tiền nhất_định do bạn bị mất thu_nhập vì phải nằm viện.và bạn vẫn giữ được và bạn vẫn giữ được số thu_nhập của năm đó . trường_hợp rủi ra liên_quan đến sinh_mạng nếu . thì từ số tiền nhỏ hàng năm thu_nhập mà bạn mua bh đó thì cty bh sẽ thanh_toán khoản tương_đối thay bạn báo_hiếu cho cha_mẹ , những người_thân ở lại vẫn có_thể sống tiếp nhờ khoản mà người ra đi để lại.trường hợp bạn may_mắn khoẻ_mạnh đến t thì sau năm bạn có khoản tương_đối từ khoản nhỏ bạn tích_cóp cộng thêm lãi xuất.còn về lấy tiền khó khi gặp rủi_ro thì nếu bạn tuân_thủ và hiểu điều_khoản trong hđ bh thì điều đó hoàn_toàn không khó để lấy tiền . trừ khi bạn trục_lợi bh thì bạn lấy tiền rất khó .",[1. 0.],98
99,"trận hôm quá hay thật , tiến lên barca .",[0. 0.],99
100,mình ăn duy_nhất đồ có màu đen là bánh_gai .,[1. 0.],100
101,"đến chính gia_đình còn không quản_lý được việc dùng điện thoai của con_em mình thì đừng ném cái trách_nhiệm ấy cho giáo_viên hay nhà_trường , chính đến người trưởng_thành còn không kiểm_soát được bản_thân trong việc sử_dụng điện_thoại thì làm_sao con_trẻ có_thể làm được việc đó . tôi thấy không cho học_sinh sử_dụng điện_thoại là đúng , nếu chúng cần tìm tài_liệu sau mỗi giờ học thì có thư_viện , có phòng vi_tính , giờ trường nào mà chẳng có cái đó , còn trong giờ học thì các em ngồi nghe , tiếp_thu , không hiểu có_thể ngay tại_chỗ hỏi thầy_cô . nếu hợp_thức_hoá việc sử_dụng điện_thoại , mỗi khi có sự_việc liên_quan đến chiếc điện_thoại với các em nhỏ thì quả bóng trách_nhiệm nghiễm_nhiên lăn đến chân các thầy_cô , nhà_trường và chính_quyền .",[1. 0.],101
102,làm_sao các cô phản_ứng kịp .,[0. 0.],102
103,trong khi mình thì kiếm bé không ra . thật là đau_lòng .,[0. 0.],103
104,đây chính_xác là nơi cr nên đến thể_hiện đẳng_cấp .,[0. 0.],104
105,"cám_ơn các anh , cám_ơn sự hỗ_trợ của người_dân xem clip thấy hồi_hộp quá chỉ lo bên trong xe nó bắn trả .",[0. 0.],105
106,bầu_trời đỏ do tán_xạ ánh_sáng này rất giống với bầu_trời đỏ của sao hoả,[0. 0.],106
107,roland garros khởi tranhgặp thời_tiết lạnh khó_khăn quá chừngnadal thần_tượng của mìnhbảo vệ ngôi_báu thiệt tình khó đây,[1. 0.],107
108,mình tập vầy đi bộ p chạy p đi bộ pxong là hết xí_quách,[1. 0.],108
109,"cảnh_báo ầm_ầm thế_mà vẫn có người ăn , sợ thật",[0. 0.],109
110,"tôi không ủng_hộ việc đình_chỉ học hay đuổi học . khi các em đang hư hoặc làm sai mà_lại đuổi học hoặc đình_chỉ thì đây là hành_động gây phản_tác_dụng , vừa không có tính giáo_huấn , lấy mất nền_tảng giáo_dục , đưa các em đi về hướng sai , lại tạo cảm_giác tự ty , nước_chảy_bèo_trôi , khi ấy các em sẽ mặc_định là mình hư , mình sai , bị đuổi học rồi nên đằng nào cũng vậy . tạo một tâm_lý tiêu_cực , bất_cần , khiến các em khó quay đầu gây ra hệ_quả xấu cho bản_thân học_sinh đó và xã hội.vậy thay_vì đình_chỉ học , đuổi học , nên cho các em đi lao_động công_ích , đi điều_trị tâm_lý , tham_gia giúp_đỡ tổ_chức các hoạt_động xã_hội , hoạt_động từ thiện.v.v tuỳ mức_độ vi_phạm để lựa_chọn hình_thức cho phù_hợp .",[1. 0.],110
111,cầu_mong ông sớm khoẻ_mạnh,[0. 0.],111
112,đồng_ý với phương_án ngày điều_chỉnh lần .,[1. 0.],112
113,nỗ_lực tuyệt_vọng chẳng_thể níu_kéo cuộc tình khi nàng đã quyết ra đi cùng người_tình mới .,[0. 0.],113
114,con_ruột mình sinh ra mà vẫn chưa đc vầy.thật ngưỡng_mộ anh_cường,[0. 0.],114
115,"haizzz . lái_xe kiểu gì vậy trời nhìn cái đầu xe w mà nát bét như_thế , dù chỉ đụng xe bánh , là hiểu rồi đó o đề_nghị thâu bằng lái của tài_xế vĩnh_viễn luôn đi .",[1. 1.],115
116,tr mua đc nhiều xe khác có tiện_ích và đông cơ tốt hơn i . bản sedan . ngon mới đc tr,[1. 0.],116
117,"ráng đợi thêm năm tích_góp thêm mua con mazda sedan mà chạy bạn . chứ lấy mấy con i , fadi thì giải_pháp tức_thời mua con m bạn còn đi xa đc , thậm_chí sau_này có bạn gái hoặc vợ_con thì gq ra sao . ở việt_nam mua chiếc xe_hơi đã khó mà sự lựa_chọn chiếc xe hợp_lý còn khó hơn .",[1. 0.],117
118,"ồ , vậy mai_đây ai mà sớ rớ tới gần học_trò , các cô cứ đấm thẳng mặt cho vừa_lòng mấy người.chứ bất_ngờ kiểu này , mà đi kỷ_luật cô thì bó_tay .",[0. 1.],118
119,doanh_số các loại đồ uống không cồn tăng thì kèm theo bệnh_tật cũng tăng lên nhưng chẳng ai quan_tâm đến nên vẫn dùng quá mức .,[0. 0.],119
120,"là cha_mẹ , ai cũng muốn cho con mình học giỏi , thành_công trên con đường học_vấn , để có việc_làm tốt . mình cũng vậy , mình thừa_nhận mình không phải là thánh để nói rằng mình không bao_giờ ép con học giỏi . lúc trước , khi con học lớp , lớp mình cũng muốn con học giỏi , bắt con học đủ thứ . nhưng sau đó sang định_cư ở châu_âu rồi , tư_tưởng mình đã thay_đổi , không còn ép con học giỏi , không bắt_buộc con học gì nữa . giờ_đây , con đã từng bước trưởng_thành , tự chọn hướng đi mà con yêu thích . mình thấy con vui_vẻ với sự lựa_chọn đó . nếu còn ở vn , chắc mình vẫn bị rơi vào vòng xoáy ép con học và làm theo ý mình muốn rồi . vì môi_trường sống mỗi nơi mỗi khác .",[1. 0.],120
121,tôi luôn theo_dõi các em thi_đấu nhưng thua bạc_nhược như trận vừa_rồi thì chắc chuyển kênh khác .,[0. 0.],121
122,hãy giảm nữa và ôm cua vòng ra biển lại đi noul,[0. 0.],122
123,một_cách giải_quyết vấn_đề rất hay . vừa làm được việc nhà vừa thoả đam_mê và học được bài_học kiếm tiền .,[0. 0.],123
124,"thế nên nếu không phải môi_trường y_tế thì không nên dùng khẩu_trang y_tế tràn_lan trong đời_sống dân_sinh , môi_trường y_tế họ có quy_trình xử_lý vật_tư y_tế khẩu_trang y_tế , găng_tay , bảo_hộ , . , còn đời_sống dân_sinh thì nên sử_dụng khẩu_trang vải để không xả thải bừa_bãi hoặc có_chăng thì còn dễ phân_huỷ",[1. 0.],124
125,"ko nên . dù để phục_vụ học_tập thì nên dùng trc và sau h học . thu_thập tài_liệu bằng nguồn nào cũng đc nhưng cần làm trc khi vào học . đã học là chỉ có truyền_đạt kiến_thức và thảo_luận theo tài_liệu đã chuẩn_bị trc . việc cho các e dùng đt vài phút tôi đoán là để google là ko hiệu_quả . đâu phải chỉ là tìm_kiếm thông_tin . còn phải đọc , sàng_lọc , xử_lý . thông_tin trên mạng nhiễu_loạn ra sao chắc mn hiểu .",[1. 0.],125
126,"đề_nghị cơ_quan chúc năng phải xử_lý rất nặng ng này với hành_vi ngang_nhiên bạo_hành trẻ_em , dư_luận xã_hội rất phẫn_nộ về hành_vi này ngay trong trường_học , trước mặt các cháu trẻ_thơ . cũng cần xử_lý ba cô_giáo ở trường này .",[1. 0.],126
127,hic.tu vi của con trê này chéc cũng được năm.chưa kịp thành tinh đã bị_thịt .,[0. 0.],127
128,các đập như thế_này nên có lan_can an_toàn hai bên khi nước lũ lớn thì đỡ nguy_hiểm hơn .,[1. 0.],128
129,nghe có_vẻ căng nhỉ,[0. 0.],129
130,thu_hồi gấp và cấm bán các sản_phẩm này ngay chứ,[0. 0.],130
131,con tu_hú ở việt_nam,[0. 0.],131
132,"full lăn bánh thì có các sự lựa_chọn nissan sunny xv or xt , attrange cvt , ciaz thì chưa về . ngoài_ra thì xe hạng a , còn xe lướt thì mua đc hạng c khoảng năm_tuổi , vios cvtg or city năm tuổi.theo mình cứ mới đét mà mua , đỡ đau_đầu . mình đang đi sunny thấy hài_lòng với số tiền bỏ ra , còn ko bỏ ra tr là có vioscity bản số tự_động đi .",[1. 0.],132
133,đáng khen_thưởng các đồng_chí ca hình_sự điều_tra về mảng tội_phạm ma_tuý bởi chỉ cần lọt hai đối_tượng xã_hội sẽ nhiều người khổ . cảm_ơn bộ công_an,[1. 0.],133
134,lúa_thu đông đang trỗ . lại bị ảnh_hưởng,[0. 0.],134
135,"bhnt nên mua càng trẻ càng tốt em nhé . nên chia ngân_sách ra , phần mua bhnt , phần đầu_tư tích_luỹ thông_qua các quỹ của cty bhnt thọ đó quản_lý và tích_luỹ lại . năm sau em sẽ thấy con_số không ngờ .",[1. 0.],135
136,"tr bác mua elantra , cerato , túc sơn , sorento . việc gì phải mua city , vios hả bạn . mua mấy em hàn tôn kia vẫn còn thừa tiền đổ xăng",[1. 0.],136
137,tôi muốn nhà sx quay lại mẫu điện_thoại như trong video . nhìn nó mới đúng đẳng_cấp của con nhà giàu.kkk,[0. 0.],137
138,"soluto tiện_nghi đầy_đủ , khoá thông_minh , camera , cảm_biến lùi . thêm nữa đợt này soluto có giảm phí trước_bạ nên sẽ rẻ hơn các dòng xe nhập đó bác",[1. 0.],138
139,tại_sao nó cứ cháy mãi thế nhỉ,[0. 0.],139
140,"kona . db phải so_sánh với kia seltos pre . t chứ nhỉ , so_sánh này khẩm khiễng quá",[1. 0.],140
141,tầm tiền này vios là số .,[1. 0.],141
142,phương oanh trông gần giống phạm băng băng rồi,[0. 0.],142
143,nghe các bạn online phán mất mệt.hông ai sát đánh_bắt sát_sinh lấy gì cho mấy bạn ăn vậy chỉ là tai_nạn thôi nha mấy thánh online,[0. 1.],143
144,con cá sống_sót và bơi đi xa đọc tới đây mà thở_phào nhẹ_nhõm . mong em cá sống_sót sau những thương_tích đợt này . còn cuộc_sống sinh_tồn sau_này thì khó nói lắm .,[1. 0.],144
145,"như trường_hợp mẹ chồng tôi mất cũng không để lại di_chúc nhưng vợ_chồng tôi lại sống với bà , chị_gái của chồng đều lấy chồng tỉnh xa , giờ đòi quyền chia đất . lúc mẹ chồng tôi còn sống con gái thứ có vay bà .. , chị_gái thứ vay bà trieu đến khi bà mất chưa trả giờ đòi chia đất . còn chị cả lấy đi số tiền phúng_viếng . liệu chị này còn đáng đòi đất ko",[1. 0.],145
146,thành_quả của trump đều bị covid huỷ hết . đây là hậu_quả sai làm của trump .,[1. 0.],146
147,nhìn số ca chấn_thương của bale . tui khâm_phục đội_ngũ bác_sĩ thể_thao mà real dùng để chữa_trị cho bale . tui thật ngạc_nhiên khi bale vẫn chạy được . vẫn đá hay với số_lượng chấn_thương như_thế .,[1. 0.],147
148,"không biết tốt xấu thế_nào nhưng sự_thật là từ hồi có xe hàn thì xe nhật mới chịu thay_đổi mẫu_mã , tăng options cho người tiêu_dùng .",[0. 0.],148
149,"nếu con bạn sử_dụng điện_thoại như bạn muốn thì quá tuyệt_vời . tiếc là đại_đa_số chúng sẽ chỉ học khi bạn bên cạch và thời_gian còn lại chúng chơi game , chat chít yêu_đương , xem phim và mạng xã_hội .",[0. 0.],149
